video_id,title,channel_id,channel_title,subscriber_count,view_count,published_at,category_id,size_tier,niche_tags,channel_avg_views_leave_one_out,raw_engagement_ratio,engagement_score,low_confidence_baseline,predicted_engagement
LwZ_isTXOk0,बहुत क़र्ज़ से “0” क़र्ज़? #sumitmehrotra,UCEh_ROR8pCJQgOXaDK7jSSg,Sumit Mehrotra,141000,147405,2026-07-19T16:08:50Z,27,small,"[""stock market analysis""]",46652.24242424242,3.159655192124319,1.4254321843293185,False,1.6301814787057214
-LefZFZr0BM,Caliber IPO में क्या करें? #sumitmehrotra,UCEh_ROR8pCJQgOXaDK7jSSg,Sumit Mehrotra,141000,55298,2026-07-18T05:44:10Z,27,small,"[""stock market analysis""]",47582.61616161616,1.162147112974584,0.7711017617561796,False,1.6050632670326095
qibhLIBAPzs,Precision Engg के स्मॉलकैप? #sumitmehrotra,UCEh_ROR8pCJQgOXaDK7jSSg,Sumit Mehrotra,141000,78003,2026-07-30T15:43:42Z,27,small,"[""stock market analysis""]",47353.27272727273,1.6472567893934564,0.9735239300218824,False,1.5885926702101993
dPy4Vx2f5DM,प्रमोटर जल्द बेचेंगे हिस्सा? #sumitmehrotra,UCEh_ROR8pCJQgOXaDK7jSSg,Sumit Mehrotra,141000,74409,2026-08-06T14:30:08Z,27,small,"[""stock market analysis""]",47389.57575757576,1.570155436306156,0.9439663781312024,False,1.5872320353436948
79njBcgSEAY,10 साल में भी “0” रिटर्न? #sumitmehrotra,UCEh_ROR8pCJQgOXaDK7jSSg,Sumit Mehrotra,141000,58221,2026-07-20T15:46:01Z,27,small,"[""stock market analysis""]",47553.09090909091,1.2243368177959943,0.7994588117721363,False,1.5588046423566426
S5CJtnjfx8U,10 साल से टर्नअराउंड का इंतज़ार? #sumitmehrotra,UCEh_ROR8pCJQgOXaDK7jSSg,Sumit Mehrotra,141000,37113,2026-07-23T16:05:20Z,27,small,"[""stock market analysis""]",47766.30303030303,0.7769703252197567,0.574909849663217,False,1.5492801982911115
K2B3RI7O41g,30 मिनट में 500% रिटर्न? #sumitmehrotra,UCEh_ROR8pCJQgOXaDK7jSSg,Sumit Mehrotra,141000,59586,2026-07-27T15:03:54Z,27,small,"[""stock market analysis""]",47539.30303030303,1.2534049975873232,0.8124424045440505,False,1.454501371018507
LA9gjMACPoc,"प्रमोटर बेचे बार बार, पब्लिक खरीद बरकरार? #sumitmehrotra",UCEh_ROR8pCJQgOXaDK7jSSg,Sumit Mehrotra,141000,56471,2026-07-22T15:45:26Z,27,small,"[""stock market analysis""]",47570.76767676768,1.187094570003733,0.7825739826452934,False,1.3731475628522032
X1sGIX4NoxU,"पहले तेज़ी, फिर QIP? #sumitmehrotra",UCEh_ROR8pCJQgOXaDK7jSSg,Sumit Mehrotra,141000,50949,2026-07-28T14:49:11Z,27,small,"[""stock market analysis""]",47626.545454545456,1.0697605613370695,0.7274329297352315,False,1.369031454493917
f71f-59RZNA,प्रमोटर 'धनी' घाटे में ‘कंपनी’? #sumitmehrotra,UCEh_ROR8pCJQgOXaDK7jSSg,Sumit Mehrotra,141000,81761,2026-07-29T16:42:09Z,27,small,"[""stock market analysis""]",47315.31313131313,1.728002935816794,1.0035698161598132,False,1.275001125777174
